"base","en"
"active","active"
"Add Task","Add Task"
"archive","archive"
"Cancel","Cancel"
"Choose Time","Choose Time"
"Erase picture","Erase picture"
"How to remind you?","How to remind you?"
"new task","new task"
"privacy policy","privacy policy"
"Proceed","Proceed"
"Saving task...","Saving task..."
"Set language:","Set language:"
"settings","settings"
"Take a picture","Take a picture"
"Task active...","Task active..."
"Task archived...","Task archived..."
"Task deleted...","Task deleted..."
"Task done...","Task done..."
"Task ignored...","Task ignored..."
"This Task has still to be done. Do you want to archive it anyway?","This Task has still to be done. Do you want to archive it anyway?"
"Time of day to pop up:","Time of day to pop up:"
"Title:","Title:"
"todos","todos"
"undone todo","undone todo"
